Year,Facility,Attendance
2007,Finger Lakes Admin.,0
2007,Wellesley Island St Pk,215373
2007,John Brown Farm,70700
2007,Verona Beach State Park,154623
2007,Durand Eastman,13398
2007,Robert Moses St Pk - Long Island,3460742
2007,Jacques Cartier St Pk,24598
2007,Philipse Manor,23001
2007,Keewaydin St Park,50531
2007,Long Point Marina,139690
2007,Walkway Over The Hudson,0
2007,Wildwood State Park,288028
2007,Lake Erie St Pk,126203
2007,Belmont Lakes St Pk,394600
2007,James Baird,127960
2007,Eel Weir St Park,10835
2007,Deans Cove Boat Launch,26661
2007,Walt Whitman House,18031
2007,Whirlpool,244255
2007,Planting Fields A,182006
2007,Beechwood,8874
2007,Lodi Point Marina/Boat,18395
2007,Robert Moses St Pk - Thousand Islands,231909
2007,Riverbank Fitness Cntr,40664
2007,Four  Mile Creek,92287
2007,Pine Grove Boatlaunch,0
2007,John Boyd Thacher Pk,292804
2007,Joseph Davis St Pk,24563
2007,Beaver Island,323524
2007,Fillmore Glen St Pk,93348
2007,Washington Headquarters,19745
2007,Lakeside Beach St Pk,71022
2007,Delta Lake St Pk,173339
2007,Appalachian Trail,2515
2007,Letchworth State Park,705439
2007,Bear Mountain St Pk,1111305
2007,Macomb Reservation,38855
2007,Cherry Plain St Pk,25956
2007,Gantry Plaza,186290
2007,Olana,94877
2007,Saratoga Springs,1801638
2007,Montauk Downs,245150
2007,Canadaigua Btlau Ontrio,50008
2007,Staatsburgh Shs,22459
2007,Clay Pit Ponds,56735
2007,Goosepond Mountain,1254
2007,Hempstead Lake St Pk,322303
2007,Heckscher St Park,917270
2007,Fair Haven St Pk,267471
2007,Springbrook Greens,8563
2007,Montauk Point,899672
2007,Schodack Island,53627
2007,Canoe-Picnic Pnt River,7540
2007,Southwick Beach St Pk,89735
2007,Haverstraw Beach,17642
2007,Canadarago Boat Lnch,26562
2007,Clark Reservation,36132
2007,Sterling Forest,149188
2007,Camp Hero,171735
2007,Stony Brook St Pk,130359
2007,Cold Spring Harbor,150174
2007,Mills Norrie St Pk,248699
2007,Burnham Pnt River Park,11752
2007,Sandy Island Beach,28038
2007,H H Spencer,8388
2007,Buttermilk Falls St Pk,160037
2007,Clermont,86002
2007,St Lawrence Golf Course,16127
2007,Caleb Smith State Park,27595
2007,Clinton House,1669
2007,Old Croton Aqueduct,947610
2007,Golden Hill St Pk,294268
2007,Steuben Memorial,3662
2007,Saratoga Lake Boat Lnch,109089
2007,Minnewaska Park,205986
2007,Minekill,68614
2007,Glimmerglass State Park,95049
2007,Oak Orchard Boat Launch,10924
2007,Moreau Lake St Pk,356674
2007,Seneca Lake St Pk,129339
2007,Grass Pnt River Park,38238
2007,Hamlin Beach State Park,282950
2007,Newtown Battlefield,28358
2007,Nissequogue River,88207
2007,Schuyler Mansion,5198
2007,Chaumont Boat Launch,33315
2007,Chittenango Fls St Pk,42210
2007,Senate House,22731
2007,Chimney Bluffs,81609
2007,Chenango Valley St Pk,242138
2007,Great Chazy Boat Launch,15361
2007,Selkirk Shores,178870
2007,Green Lakes State Park,835444
2007,Sebago Lake,206913
2007,Niagara Reservation,7924083
2007,New Windsor Cantonment,21122
2007,Grafton Lakes St Pk,173702
2007,Cedar Pnt River Park,73080
2007,Cedar Island River Park,1635
2007,Captree St Pk,1270892
2007,Schoharie Crossing,43025
2007,Soaring Eagles Golf Course,34848
2007,Harriman Hiker Trail,31857
2007,Caumsett St Pk,359194
2007,Clarence Fahnestock,211262
2007,Napeague State Park,201910
2007,Harriman Beaver Pond,73018
2007,Nyack Beach St Pk,160189
2007,Grants Cottage,2393
2007,Harriman Group Camp,149039
2007,Cayuga Lake St Pk,171363
2007,Schunnemunk State Park,25567
2007,Shadmore,120645
2007,Chittengo Lndg,0
2007,National Purple Heart Hall Of Honor,15
2007,Silver Lake,30407
2007,Old Erie Canal,127474
2007,Herkimer Home,23446
2007,Orient Beach St Pk,85318
2007,Brookhaven State Park,2935
2007,Bonavista Golf Course,16227
2007,Coxsackie,128985
2007,Brentwood Sp,99700
2007,Taughannock Falls St Pk,525669
2007,Oriskany Battlefield,15485
2007,Genesee River Park,1182
2007,Oquaga State Park,36592
2007,Higley Flow St Park,40130
2007,Conesus Lake Boat Launch,23435
2007,Connetquot River St Pk,243208
2007,Storm King,2977
2007,Copake Falls,153578
2007,Genesee Valley Greenway,10885
2007,Rudd Pond,16935
2007,Sunken Meadow St Pk,2550645
2007,Hither Hills,352371
2007,Mexico Point Boat Launch,30232
2007,Hook Mountain,30164
2007,Tallman Mountain St Pk,302441
2007,Sag Harbour,35511
2007,Bowman Lake St Pk,45882
2007,Taconic Outdoor Education Center,18087
2007,Max V Shaul Campsite,4398
2007,Marsha P. Johnson State Park (former East River State Park until 2020),148712
2007,Stony Point Battlefield,26420
2007,Buffalo Harbor St Pk & Marina,0
2007,Sackets Harbor Btl Field,104440
2007,Sampson St Pk,183410
2007,Honeoye Bt Lau,31986
2007,Braddock Bay,24754
2007,Rockland Lake State Park,1273985
2007,Mary Island River Park,4652
2007,Stony Creek,24192
2007,Midway State Park,146965
2007,Coles Creek,123649
2007,Gilbert Lake St Pk,90101
2007,Blauvelt,24769
2007,Bristol Beach,17753
2007,Thompson Lake St Pk,55428
2007,High Tor St Pk,64637
2007,Hudson Highlands,175067
2007,Buckhorn,29039
2007,Highland Lakes,862
2008,Lorenzo,40711
2008,Indian Hills Golf Course,43396
2008,Fillmore Glen St Pk,98844
2008,Harriman Group Camp,107889
2008,Planting Fields A,180207
2008,Mary Island River Park,4835
2008,Grants Cottage,2559
2008,National Purple Heart Hall Of Honor,12093
2008,Napeague State Park,188665
2008,Joseph Davis St Pk,23039
2008,Lakeside Beach St Pk,74580
2008,Old Erie Canal,89412
2008,Lake Erie St Pk,116844
2008,Macomb Reservation,29528
2008,Niagara Reservation,7925725
2008,Green Lakes State Park,847567
2008,Palisades,4685
2008,Knox Farm Sp,88284
2008,Knox Headquarters,23823
2008,Hudson River Islands,8686
2008,Great Chazy Boat Launch,13553
2008,Nissequogue River,95007
2008,Hudson Highlands,156992
2008,New Windsor Cantonment,15729
2008,Marsha P. Johnson State Park (former East River State Park until 2020),182144
2008,Keuka Lake St Pk,86390
2008,Hunts Pond State Park,7927
2008,Kring Point,49976
2008,Hamlin Beach State Park,246088
2008,Grass Pnt River Park,36567
2008,Oriskany Battlefield,6360
2008,F D Roosevelt,529277
2008,Genesee River Park,1811
2008,Newtown Battlefield,38736
2008,Harriman Beaver Pond,66551
2008,Ganondagan,37928
2008,Hook Mountain,26609
2008,Keewaydin St Park,52622
2008,Nyack Beach St Pk,124378
2008,Point Au Roche,58626
2008,Oak Orchard Boat Launch,7860
2008,Orient Beach St Pk,111157
2008,Lake Welch,277594
2008,Oquaga State Park,33445
2008,Minnewaska Park,232032
2008,Herkimer Home,27940
2008,Gantry Plaza,203334
2008,Gilbert Lake St Pk,86758
2008,Pinnacle Golf,25169
2008,Higley Flow St Park,37709
2008,Golden Hill St Pk,320403
2008,Fort Ontario,110865
2008,Old Croton Aqueduct,952231
2008,Midway State Park,155325
2008,John Burroughs Memorial,2148
2008,Minekill,56361
2008,Letchworth State Park,665326
2008,High Tor St Pk,68440
2008,H H Spencer,6443
2008,Long Point Marina,137912
2008,James Baird,147376
2008,Mills Norrie St Pk,244539
2008,John Boyd Thacher Pk,248202
2008,Highland Lakes,898
2008,Pine Grove Boatlaunch,0
2008,Four  Mile Creek,75611
2008,Lodi Point Marina/Boat,21911
2008,Glimmerglass State Park,90950
2008,John Brown Farm,62160
2008,Harriman Hiker Trail,29976
2008,Hempstead Lake St Pk,312946
2008,Philipse Manor,23554
2008,Peebles Island,88184
2008,Jones Beach,6291943
2008,Honeoye Bt Lau,25996
2008,Moreau Lake St Pk,367828
2008,Haverstraw Beach,16482
2008,Lake Superior,17642
2008,Max V Shaul Campsite,5712
2008,Grafton Lakes St Pk,174324
2008,Long Point St Pk,27912
2008,Irondquoit Bay Boat Lnch,35540
2008,Finger Lakes Admin.,0
2008,Genesee Valley Greenway,28545
2008,Montauk Downs,214790
2008,Johnson Hall,62006
2008,Hither Hills,355138
2008,Pixley Falls State Park,17946
2008,Heckscher St Park,1098350
2008,Mexico Point Boat Launch,27678
2008,Long Point River Park,25597
2008,John Jay Homestead,28785
2008,Jacques Cartier St Pk,23569
2008,Lake Taghkanic St Park,184023
2008,Ft Niagara,272076
2008,Goosepond Mountain,1153
2008,Fort Montgomery,14946
2008,Olana,165702
2008,Montauk Point,872840
2008,Fair Haven St Pk,258485
2008,Roberto Clemente,1215014
2008,Soaring Eagles Golf Course,33200
2008,Allegany Red House Area,785967
2008,Bear Mountain St Pk,1003031
2008,Wildwood State Park,280529
2008,Trailview,98937
2008,Black Lk Boat Launch,9236
2008,Cherry Plain St Pk,29164
2008,Clay Pit Ponds,54827
2008,Sebago Lake,253677
2008,Robert Moses St Pk - Thousand Islands,239555
2008,Deans Cove Boat Launch,21442
2008,Waterson Point Docking,955
2008,Rudd Pond,16355
2008,Wehle State Park,30046
2008,Bennington Battlefield,19161
2008,Copake Falls,153196
2008,Delta Lake St Pk,181829
2008,Robert Moses St Pk - Long Island,3257581
2008,Sackets Harbor Btl Field,89069
2008,Canadarago Boat Lnch,19999
2008,Robert H Treman St Pk,199115
2008,Deveaux Woods,26768
2008,Battle Isl Golf Course,31416
2008,Schoharie Crossing,44980
2008,Buttermilk Falls St Pk,158988
2008,Staatsburgh Shs,19240
2008,Wilson Hill Boat Launch,9915
2008,Buckhorn,29300
2008,Chenango Valley St Pk,175587
2008,Selkirk Shores,160287
2008,Canadaigua Btlau Ontrio,45421
2008,Braddock Bay,34825
2008,Saratoga Springs,1486723
2008,Taconic Outdoor Education Center,19149
2008,Tiorati,246902
2008,Senate House,23160
2008,Verona Beach State Park,125553
2008,Darien Lakes State Park,55184
2008,Coxsackie,98539
2008,Crown Point,14235
2008,Big 6 Marina,49640
2008,Chittengo Lndg,0
2008,Schunnemunk State Park,28579
2008,Rockland Lake State Park,583955
2008,Brookhaven State Park,4875
2008,Bristol Beach,81359
2008,Rock Island,3123
2008,Storm King,2343
2008,Crailo,5547
2008,Bayard C. A.,149938
2008,Caleb Smith State Park,31026
2008,Clarence Fahnestock,204923
2008,Watkins Glen St Pk,431688
2008,Whirlpool,229612
2008,Appalachian Trail,1951
2008,Chittenango Fls St Pk,40234
2008,Bayswater Point St Pk,1769
2008,St Lawrence Golf Course,11991
2008,Brentwood Sp,90000
2008,Chimney Bluffs,74254
2008,Schuyler Mansion,5053
2008,Sunken Meadow St Pk,1680069
2008,Stony Point Battlefield,29118
2008,Sterling Forest,157074
2008,Schodack Island,53729
2008,Camp Hero,178750
2008,Clark Reservation,29609
2008,Cumberland Bay St Pk,55934
2008,Whetstone Gulf,90312
2008,Anthony Wayne,433075
2008,Rockefeller Preserve,318712
2008,Cold Spring Harbor,146467
2008,Chaumont Boat Launch,32415
2008,Connetquot River St Pk,235544
2008,Riverbank Fitness Cntr,43083
2008,Sampson St Pk,181926
2008,Cayuga Lake St Pk,154610
2008,Thousand Island Admin.,0
2008,Clinton House,2139
2008,Athens,41634
2008,Black River Trail,59183
2008,Coles Creek,122343
2008,Eel Weir St Park,7120
2008,Canoe-Picnic Pnt River,8762
2008,Cedar Island River Park,1700
2008,Shadmore,111595
2008,Westcott Beach St Pk,108480
2008,Allan Treman Marina,160923
2008,Wilson Tuscarora St Pk,197212
2008,Southwick Beach St Pk,85493
2008,Saratoga Lake Boat Lnch,64826
2008,Silver Lake,23800
2008,Walt Whitman House,17576
2008,Woodlawn Beach,166146
2008,Captree St Pk,1145106
2008,Wellesley Island St Pk,209845
2008,Point Au Roche Boat Lau,6781
2008,Evangola St Pk,95151
2008,Sandy Island Beach,28637
2008,Beechwood,11194
2008,Caumsett St Pk,330378
2008,Burnham Pnt River Park,11826
2008,Thompson Lake St Pk,56983
2008,Buffalo Harbor St Pk & Marina,0
2008,Reservoir St Pk,77879
2008,Empire Fulton Ferry,472894
2008,Stony Brook St Pk,116595
2008,Blauvelt,28026
2008,Durand Eastman,22508
2008,Steuben Memorial,908
2008,Belmont Lakes St Pk,377400
2008,Dewolf Point,8514
2008,Sag Harbour,37870
2008,Valley Stream St Pk,217023
2008,Cedar Pnt River Park,64354
2008,Allegany Quaker Area,787724
2008,Bowman Lake St Pk,55721
2008,Seneca Lake St Pk,169670
2008,Conesus Lake Boat Launch,21245
2008,Riverbank State Park,2715154
2008,Beaver Island,289349
2008,Bethpage Golf Course,833207
2008,Walkway Over The Hudson,0
2008,Devils Hole,133641
2008,Betty And Wilbur Davis State Park,16090
2008,Tallman Mountain St Pk,291080
2008,Artpark,162931
2008,Stony Creek,22170
2008,Springbrook Greens,8735
2008,Washington Headquarters,22925
2008,Bonavista Golf Course,15582
2008,Riverbank Rollr-Ice Rnks,262624
2008,Clermont,104692
2008,Taughannock Falls St Pk,412873
2009,Clinton House,2288
2009,Wellesley Island St Pk,197448
2009,H H Spencer,5510
2009,Bayard C. A.,147198
2009,John Jay Homestead,30368
2009,Olana,135564
2009,Schoharie Crossing,61527
2009,Burnham Pnt River Park,11895
2009,Oak Orchard Boat Launch,9050
2009,Saratoga Springs,1530259
2009,Caleb Smith State Park,30690
2009,Cold Spring Harbor,151438
2009,Bethpage Golf Course,1000815
2009,Saratoga Lake Boat Lnch,90148
2009,Golden Hill St Pk,239893
2009,Long Point River Park,29047
2009,Valley Stream St Pk,253614
2009,Clay Pit Ponds,62398
2009,Stony Brook St Pk,129984
2009,Clark Reservation,37186
2009,St Lawrence Golf Course,13192
2009,Minekill,65235
2009,Old Croton Aqueduct,824313
2009,Schodack Island,74678
2009,Goosepond Mountain,1179
2009,Clermont,88151
2009,Wehle State Park,39742
2009,Irondquoit Bay Boat Lnch,39121
2009,Grafton Lakes St Pk,198281
2009,Buttermilk Falls St Pk,182619
2009,Lake Taghkanic St Park,196723
2009,Battle Isl Golf Course,31065
2009,Jacques Cartier St Pk,20574
2009,Steuben Memorial,967
2009,Long Point Marina,138449
2009,Harriman Beaver Pond,41347
2009,John Boyd Thacher Pk,235179
2009,Springbrook Greens,9015
2009,Montauk Point,716240
2009,Cedar Pnt River Park,68376
2009,Shadmore,93485
2009,Washington Headquarters,22025
2009,Seneca Lake St Pk,171762
2009,Beaver Island,304298
2009,Hamlin Beach State Park,248348
2009,Walkway Over The Hudson,440068
2009,Heckscher St Park,1385349
2009,Chaumont Boat Launch,39875
2009,Newtown Battlefield,30387
2009,Cedar Island River Park,2649
2009,Canoe-Picnic Pnt River,7159
2009,National Purple Heart Hall Of Honor,10388
2009,Belmont Lakes St Pk,405300
2009,Harriman Hiker Trail,35363
2009,Captree St Pk,1206441
2009,Caumsett St Pk,369890
2009,James Baird,190337
2009,Walt Whitman House,7156
2009,Moreau Lake St Pk,395910
2009,Napeague State Park,162570
2009,Beechwood,7215
2009,Cayuga Lake St Pk,131391
2009,Silver Lake,20164
2009,Harriman Group Camp,178459
2009,Haverstraw Beach,13993
2009,Southwick Beach St Pk,90723
2009,Lodi Point Marina/Boat,24014
2009,Senate House,16773
2009,Clarence Fahnestock,212171
2009,Canadarago Boat Lnch,22927
2009,Letchworth State Park,634556
2009,Bayswater Point St Pk,8730
2009,Chittenango Fls St Pk,47258
2009,Grass Pnt River Park,37349
2009,Camp Hero,182625
2009,Lake Welch,297086
2009,Verona Beach State Park,230380
2009,Macomb Reservation,37900
2009,Minnewaska Park,237950
2009,Nyack Beach St Pk,124536
2009,Chittengo Lndg,0
2009,Schunnemunk State Park,30468
2009,Watkins Glen St Pk,462103
2009,Grants Cottage,3034
2009,Herkimer Home,27992
2009,John Burroughs Memorial,2391
2009,Nissequogue River,87486
2009,Sterling Forest,176457
2009,Chimney Bluffs,84182
2009,Staatsburgh Shs,15619
2009,Chenango Valley St Pk,176323
2009,Selkirk Shores,150790
2009,Green Lakes State Park,848281
2009,Canadaigua Btlau Ontrio,38843
2009,John Brown Farm,58782
2009,Waterson Point Docking,1454
2009,Bear Mountain St Pk,1219591
2009,Montauk Downs,170360
2009,Niagara Reservation,8130765
2009,Cherry Plain St Pk,27155
2009,Sebago Lake,383009
2009,Bennington Battlefield,15498
2009,Great Chazy Boat Launch,14542
2009,Hempstead Lake St Pk,343259
2009,New Windsor Cantonment,19305
2009,Sandy Island Beach,36983
2009,Schuyler Mansion,4888
2009,Philipse Manor,22517
2009,Lorenzo,31123
2009,Roberto Clemente,818393
2009,Glimmerglass State Park,99380
2009,Durand Eastman,26423
2009,Bonavista Golf Course,12309
2009,Lake Erie St Pk,114267
2009,Brentwood Sp,78150
2009,Ft Niagara,292700
2009,Darien Lakes State Park,50327
2009,Sunken Meadow St Pk,1447456
2009,Fillmore Glen St Pk,89869
2009,Marsha P. Johnson State Park (former East River State Park until 2020),237310
2009,Allan Treman Marina,184372
2009,Hither Hills,353865
2009,Max V Shaul Campsite,5511
2009,Anthony Wayne,365502
2009,Cumberland Bay St Pk,53209
2009,Peebles Island,94316
2009,Planting Fields A,173455
2009,Whirlpool,176503
2009,Bristol Beach,17641
2009,Black River Trail,67459
2009,Joseph Davis St Pk,33131
2009,Eel Weir St Park,4427
2009,Ganondagan,35286
2009,Crown Point,20782
2009,Riverbank Fitness Cntr,31197
2009,Keuka Lake St Pk,92911
2009,Rock Island,3574
2009,Storm King,3993
2009,Rockefeller Preserve,274159
2009,Wildwood State Park,274000
2009,Wilson Tuscarora St Pk,143989
2009,Deans Cove Boat Launch,16890
2009,Hook Mountain,22681
2009,Fort Montgomery,21415
2009,Mary Island River Park,4503
2009,Tallman Mountain St Pk,265106
2009,Kring Point,59283
2009,Pixley Falls State Park,0
2009,Robert H Treman St Pk,223915
2009,Riverbank State Park,3609449
2009,Deveaux Woods,34205
2009,Allegany Quaker Area,781833
2009,Hunts Pond State Park,4757
2009,Bowman Lake St Pk,43768
2009,Pinnacle Golf,24145
2009,Wilson Hill Boat Launch,9885
2009,Tiorati,264169
2009,Braddock Bay,39561
2009,Fort Ontario,121620
2009,Robert Moses St Pk - Thousand Islands,240628
2009,Taughannock Falls St Pk,428700
2009,Four  Mile Creek,72836
2009,Black Lk Boat Launch,7694
2009,Riverbank Rollr-Ice Rnks,249705
2009,Keewaydin St Park,49052
2009,Palisades,5147
2009,Finger Lakes Admin.,0
2009,Honeoye Bt Lau,26417
2009,Taconic Outdoor Education Center,17661
2009,Delta Lake St Pk,172280
2009,Dewolf Point,9528
2009,Robert Moses St Pk - Long Island,3649619
2009,Allegany Red House Area,748255
2009,Pine Grove Boatlaunch,0
2009,Knox Headquarters,25363
2009,Mexico Point Boat Launch,25845
2009,High Tor St Pk,53936
2009,Buckhorn,28680
2009,Artpark,159051
2009,Genesee Valley Greenway,39268
2009,Connetquot River St Pk,202010
2009,Point Au Roche,64542
2009,Reservoir St Pk,66923
2009,Betty And Wilbur Davis State Park,22582
2009,Sag Harbour,35785
2009,Conesus Lake Boat Launch,21836
2009,Long Point St Pk,27907
2009,Oquaga State Park,25319
2009,Knox Farm Sp,126838
2009,Lake Superior,14340
2009,Buffalo Harbor St Pk & Marina,0
2009,Blauvelt,24148
2009,Evangola St Pk,81964
2009,Gilbert Lake St Pk,87784
2009,Woodlawn Beach,116753
2009,Highland Lakes,463
2009,Hudson River Islands,7012
2009,Fair Haven St Pk,282830
2009,Point Au Roche Boat Lau,7646
2009,Old Erie Canal,89932
2009,Orient Beach St Pk,111473
2009,Johnson Hall,50664
2009,Westcott Beach St Pk,110018
2009,Coles Creek,116149
2009,Sampson St Pk,171828
2009,Mills Norrie St Pk,215731
2009,Athens,38121
2009,Soaring Eagles Golf Course,29419
2009,Stony Creek,24373
2009,Sackets Harbor Btl Field,98132
2009,Devils Hole,111198
2009,Jones Beach,6284928
2009,Empire Fulton Ferry,378706
2009,Rockland Lake State Park,707891
2009,F D Roosevelt,502247
2009,Thompson Lake St Pk,58642
2009,Coxsackie,93078
2009,Indian Hills Golf Course,38303
2009,Gantry Plaza,343384
2009,Oriskany Battlefield,7183
2009,Big 6 Marina,21000
2009,Whetstone Gulf,86645
2009,Rudd Pond,16954
2009,Thousand Island Admin.,0
2009,Higley Flow St Park,41208
2009,Trailview,111068
2009,Brookhaven State Park,6686
2009,Genesee River Park,2262
2009,Copake Falls,151206
2009,Midway State Park,116996
2009,Crailo,6473
2009,Lakeside Beach St Pk,74000
2009,Stony Point Battlefield,29557
2009,Hudson Highlands,159276
2009,Appalachian Trail,1387
2010,Macomb Reservation,18421
2010,Southwick Beach St Pk,100464
2010,Point Au Roche Boat Lau,11207
2010,Long Point Marina,129215
2010,Bonavista Golf Course,8
2010,Blauvelt,25896
2010,Captree St Pk,1180972
2010,Bowman Lake St Pk,41537
2010,Canoe-Picnic Pnt River,6440
2010,Marsha P. Johnson State Park (former East River State Park until 2020),405062
2010,James Baird,146709
2010,Black River Trail,76323
2010,Taughannock Falls St Pk,427352
2010,Thousand Island Admin.,0
2010,Springbrook Greens,6299
2010,Haverstraw Beach,10576
2010,Thompson Lake St Pk,57043
2010,Moreau Lake St Pk,425167
2010,Montauk Point,756940
2010,Hudson Highlands,173314
2010,Irondquoit Bay Boat Lnch,38563
2010,Hunts Pond State Park,0
2010,Steuben Memorial,552
2010,Storm King,5746
2010,Indian Hills Golf Course,31955
2010,Brookhaven State Park,10913
2010,Higley Flow St Park,44672
2010,Caleb Smith State Park,25936
2010,Verona Beach State Park,275314
2010,Bethpage Golf Course,779740
2010,St Lawrence Golf Course,12287
2010,Big 6 Marina,25958
2010,Midway State Park,106948
2010,H H Spencer,9327
2010,Buckhorn,27775
2010,Stony Point Battlefield,23167
2010,High Tor St Pk,61566
2010,Buttermilk Falls St Pk,179393
2010,Buffalo Harbor St Pk & Marina,0
2010,Minekill,67447
2010,Valley Stream St Pk,266657
2010,Long Point St Pk,34723
2010,Stony Brook St Pk,121853
2010,Stony Creek,23623
2010,Burnham Pnt River Park,13414
2010,Betty And Wilbur Davis State Park,24490
2010,Highland Lakes,390
2010,Herkimer Home,27854
2010,Hook Mountain,15289
2010,Mexico Point Boat Launch,20509
2010,Long Point River Park,28797
2010,Heckscher St Park,1280900
2010,Mary Island River Park,4077
2010,Tallman Mountain St Pk,235848
2010,Canadarago Boat Lnch,19745
2010,Walkway Over The Hudson,409669
2010,Staatsburgh Shs,16128
2010,Tiorati,179087
2010,Braddock Bay,40280
2010,Canadaigua Btlau Ontrio,47319
2010,Honeoye Bt Lau,26409
2010,Montauk Downs,185625
2010,Bennington Battlefield,12339
2010,Taconic Outdoor Education Center,19651
2010,Black Lk Boat Launch,7002
2010,Hempstead Lake St Pk,348866
2010,Max V Shaul Campsite,3877
2010,Sterling Forest,180892
2010,Brentwood Sp,285500
2010,Sunken Meadow St Pk,1624952
2010,Lorenzo,28256
2010,Jacques Cartier St Pk,22029
2010,Hither Hills,356649
2010,Camp Hero,137945
2010,Bristol Beach,9160
2010,Minnewaska Park,216905
2010,Trailview,123267
2010,Mills Norrie St Pk,218737
2010,Hudson River Islands,0
2010,Gilbert Lake St Pk,89999
2010,Old Erie Canal,65623
2010,Westcott Beach St Pk,125945
2010,Coles Creek,114295
2010,Sampson St Pk,173894
2010,Athens,39511
2010,Belmont Lakes St Pk,482150
2010,Oquaga State Park,30320
2010,Johnson Hall,47812
2010,Conesus Lake Boat Launch,25793
2010,Lake Superior,16680
2010,Connetquot River St Pk,188497
2010,Genesee Valley Greenway,37805
2010,Fort Montgomery,25693
2010,Artpark,194175
2010,Devils Hole,131451
2010,Orient Beach St Pk,215650
2010,Sag Harbour,35715
2010,Keuka Lake St Pk,94676
2010,Pixley Falls State Park,0
2010,Riverbank State Park,3149457
2010,Clay Pit Ponds,61772
2010,Robert Moses St Pk - Thousand Islands,71050
2010,Saratoga Springs,2007752
2010,Battle Isl Golf Course,30613
2010,Finger Lakes Admin.,0
2010,Clermont,98574
2010,Lake Taghkanic St Park,221494
2010,Clinton House,962
2010,Golden Hill St Pk,75553
2010,Dewolf Point,11090
2010,Old Croton Aqueduct,848512
2010,Saratoga Lake Boat Lnch,76545
2010,Wellesley Island St Pk,200400
2010,Allegany Quaker Area,707369
2010,Cold Spring Harbor,157992
2010,Sandy Island Beach,37580
2010,Glimmerglass State Park,105783
2010,Sackets Harbor Btl Field,85382
2010,John Jay Homestead,33413
2010,Jones Beach,5804746
2010,Genesee River Park,2363
2010,Peebles Island,89067
2010,Allegany Red House Area,728728
2010,Robert Moses St Pk - Long Island,3800555
2010,Cumberland Bay St Pk,46709
2010,Rockefeller Preserve,282958
2010,Anthony Wayne,360706
2010,Delta Lake St Pk,195083
2010,Whirlpool,221223
2010,Darien Lakes State Park,59639
2010,Wildwood State Park,290922
2010,Philipse Manor,21216
2010,Roberto Clemente,1112641
2010,Lake Erie St Pk,104553
2010,Pine Grove Boatlaunch,0
2010,Deans Cove Boat Launch,16747
2010,Keewaydin St Park,47572
2010,Ft Niagara,292835
2010,Rock Island,4708
2010,Joseph Davis St Pk,27644
2010,Ganondagan,35003
2010,Kring Point,57655
2010,Robert H Treman St Pk,236174
2010,Rudd Pond,16452
2010,Whetstone Gulf,124227
2010,Oriskany Battlefield,2710
2010,Coxsackie,111135
2010,Rockland Lake State Park,666234
2010,Gantry Plaza,687815
2010,Appalachian Trail,3396
2010,Deveaux Woods,21726
2010,Crailo,4504
2010,Lakeside Beach St Pk,70411
2010,Palisades,5060
2010,Pinnacle Golf,26786
2010,Wilson Hill Boat Launch,8636
2010,Fort Ontario,105818
2010,Crown Point,16997
2010,Copake Falls,183881
2010,Olana,129676
2010,Goosepond Mountain,2179
2010,Schodack Island,76453
2010,Cedar Pnt River Park,69894
2010,Newtown Battlefield,23723
2010,Seneca Lake St Pk,186237
2010,Beaver Island,291014
2010,Hamlin Beach State Park,271309
2010,Knox Farm Sp,123908
2010,Chaumont Boat Launch,40971
2010,Washington Headquarters,20092
2010,Waterson Point Docking,1680
2010,Senate House,14713
2010,F D Roosevelt,548587
2010,Empire Fulton Ferry,0
2010,Letchworth State Park,650477
2010,Chenango Valley St Pk,176141
2010,Green Lakes State Park,891557
2010,John Brown Farm,65952
2010,New Windsor Cantonment,19776
2010,Point Au Roche,64334
2010,Harriman Beaver Pond,42433
2010,John Boyd Thacher Pk,241643
2010,Caumsett St Pk,408431
2010,Harriman Hiker Trail,39467
2010,Fair Haven St Pk,298186
2010,Walt Whitman House,7481
2010,Napeague State Park,98180
2010,Soaring Eagles Golf Course,27142
2010,Cayuga Lake St Pk,127860
2010,Harriman Group Camp,202662
2010,Evangola St Pk,105304
2010,Beechwood,1206
2010,Silver Lake,25370
2010,Woodlawn Beach,102993
2010,Lodi Point Marina/Boat,27614
2010,National Purple Heart Hall Of Honor,12892
2010,Reservoir St Pk,58310
2010,Cedar Island River Park,1728
2010,Shadmore,59480
2010,Niagara Reservation,8274942
2010,Bear Mountain St Pk,1921043
2010,Selkirk Shores,130385
2010,Sebago Lake,265401
2010,Cherry Plain St Pk,24775
2010,Chittengo Lndg,0
2010,Fillmore Glen St Pk,122859
2010,Nyack Beach St Pk,142344
2010,Schunnemunk State Park,32739
2010,Grants Cottage,3458
2010,Riverbank Rollr-Ice Rnks,245192
2010,Clarence Fahnestock,234817
2010,Lake Welch,398659
2010,Durand Eastman,26226
2010,Oak Orchard Boat Launch,6991
2010,Schoharie Crossing,52615
2010,Bayard C. A.,185614
2010,Wilson Tuscarora St Pk,105164
2010,Clark Reservation,29814
2010,Grafton Lakes St Pk,220952
2010,Wehle State Park,44994
2010,John Burroughs Memorial,2841
2010,Allan Treman Marina,205460
2010,Planting Fields A,212039
2010,Grass Pnt River Park,39214
2010,Knox Headquarters,20489
2010,Great Chazy Boat Launch,14997
2010,Eel Weir St Park,1990
2010,Chimney Bluffs,109184
2010,Watkins Glen St Pk,483701
