Year,Facility,Attendance
2013,John Jay Homestead,31915
2013,Hook Mountain,29604
2013,Long Point Marina,64782
2013,Allan Treman Marina,292200
2013,Appalachian Trail,5516
2013,Keewaydin St Park,55350
2013,Lakeside Beach St Pk,72697
2013,John Boyd Thacher Pk,313640
2013,Max V Shaul Campsite,23487
2013,Knox Farm Sp,0
2013,Indian Hills Golf Course,13528
2013,Wildwood State Park,313196
2013,Jones Beach,3907682
2013,Letchworth State Park,662398
2013,Irondquoit Bay Boat Lnch,45678
2013,Lake Superior,12266
2013,John Brown Farm,52995
2013,John Burroughs Memorial,3055
2013,Knox Headquarters,10234
2013,Lodi Point Marina/Boat,22490
2013,Anthony Wayne,168928
2014,Stony Brook St Pk,164536
2014,Finger Lakes Admin.,0
2014,National Purple Heart Hall Of Honor,17086
2014,Gilbert Lake St Pk,77959
2014,Sag Harbour,25266
2014,Brentwood Sp,205020
2014,Rudd Pond,18890
2014,Crown Point,20288
2014,Orient Beach St Pk,452199
2014,Jones Beach,5442032
2014,Wilson Hill Boat Launch,9248
2014,Rock Island,6941
2014,Oquaga State Park,53495
2014,Walt Whitman House,4609
2014,Conesus Lake Boat Launch,27025
2014,Burnham Pnt River Park,12249
2014,Niagara Reservation,9011709
2014,John Boyd Thacher Pk,391456
2014,Rockland Lake State Park,629173
2014,Johnson Hall,55877
2014,Caleb Smith State Park,27863
2014,Tiorati,211829
2014,Bennington Battlefield,19408
2014,Coxsackie,40043
2014,Hudson River Islands,0
2014,Newtown Battlefield,34455
2014,Fillmore Glen St Pk,83044
2014,Point Au Roche,74730
2014,Westcott Beach St Pk,127115
2014,Hamlin Beach State Park,278098
2014,Lake Superior,11135
2014,Thompson Lake St Pk,63934
2014,St Lawrence Golf Course,9386
2014,Sackets Harbor Btl Field,77797
2014,Buttermilk Falls St Pk,197981
2014,Crailo,11002
2014,New Windsor Cantonment,27637
2014,Planting Fields A,213932
2014,Copake Falls,272484
2014,Macomb Reservation,29862
2014,Allegany Red House Area,686068
2014,Connetquot River St Pk,233504
2014,Walkway Over The Hudson,425052
2014,Harriman Beaver Pond,38657
2014,Sampson St Pk,166043
2014,Verona Beach State Park,206438
2014,Cumberland Bay St Pk,47432
2014,Valley Stream St Pk,267789
2014,Devils Hole,136118
2014,Oak Orchard Boat Launch,9259
2014,Robert H Treman St Pk,234791
2014,Old Erie Canal,86289
2014,Reservoir St Pk,148768
2014,Dewolf Point,15893
2014,Grafton Lakes St Pk,240063
2014,John Burroughs Memorial,2540
2014,Riverbank State Park,3187269
2014,John Brown Farm,46957
2014,Storm King,6944
2014,Anthony Wayne,47025
2014,Brookhaven State Park,0
2014,Buckhorn,31905
2014,Evangola St Pk,139804
2014,Olana,161358
2014,Big 6 Marina,75132
2014,Wildwood State Park,298990
2014,Indian Hills Golf Course,16341
2014,Goosepond Mountain,2967
2014,Riverbank Rollr-Ice Rnks,407003
2014,Bristol Beach,10613
2014,Eel Weir St Park,3377
2014,Empire Fulton Ferry,0
2014,Riverbank Fitness Cntr,15483
2014,Golden Hill St Pk,70734
2014,Old Croton Aqueduct,1009221
2014,Whetstone Gulf,118577
2014,Trailview,138005
2014,Durand Eastman,22751
2014,Lorenzo,43913
2014,Lake Welch,245483
2014,Grants Cottage,4780
2014,Lake Taghkanic St Park,259146
2014,Bethpage Golf Course,795563
2014,Lodi Point Marina/Boat,32693
2014,Rockefeller Preserve,337842
2014,Hunts Pond State Park,0
2014,Great Chazy Boat Launch,17225
2014,Harriman Group Camp,161080
2014,F D Roosevelt,490546
2014,Darien Lakes State Park,68360
2014,Stony Creek,35187
2014,Nissequogue River,95288
2014,Roberto Clemente,1092606
2014,Taconic Outdoor Education Center,20138
2014,John Jay Homestead,35828
2014,Buffalo Harbor St Pk & Marina,1025
2014,Athens,12592
2014,Deans Cove Boat Launch,14448
2014,Irondquoit Bay Boat Lnch,41812
2014,Stony Point Battlefield,34486
2014,Betty And Wilbur Davis State Park,12271
2014,Glimmerglass State Park,153882
2014,Fair Haven St Pk,295527
2014,Robert Moses St Pk - Long Island,3477086
2014,Green Lakes State Park,1079160
2014,Nyack Beach St Pk,169661
2014,Point Au Roche Boat Lau,10186
2014,Delta Lake St Pk,209556
2014,Robert Moses St Pk - Thousand Islands,98257
2014,Black Lk Boat Launch,7793
2014,Long Point St Pk,32798
2014,Grass Pnt River Park,38109
2014,Deveaux Woods,90202
2014,Artpark,301523
2014,Sunken Meadow St Pk,2042449
2014,Camp Hero,114995
2014,Mills Norrie St Pk,203730
2014,Southwick Beach St Pk,114990
2014,Kring Point,54550
2014,Watkins Glen St Pk,715206
2014,Keuka Lake St Pk,102883
2014,Highland Lakes,4451
2014,Pine Grove Boatlaunch,13403
2014,Chimney Bluffs,117811
2014,Long Point River Park,35450
2014,Sebago Lake,52404
2014,Palisades,10592
2014,Captree St Pk,1124776
2014,James Baird,103618
2014,Chittenango Fls St Pk,46988
2014,Minekill,84343
2014,Woodlawn Beach,146000
2014,Schuyler Mansion,6083
2014,Hook Mountain,36806
2014,H H Spencer,61392
2014,Four  Mile Creek,79609
2014,Long Point Marina,62034
2014,Bear Mountain St Pk,1894373
2014,Mary Island River Park,3415
2014,Springbrook Greens,8456
2014,Gantry Plaza,905450
2014,Schunnemunk State Park,44141
2014,Minnewaska Park,290659
2014,Canoe-Picnic Pnt River,7221
2014,Thousand Island Admin.,0
2014,Selkirk Shores,77930
2014,Blauvelt,24529
2014,Cherry Plain St Pk,23250
2014,Taughannock Falls St Pk,434090
2014,Bayard C. A.,225456
2014,Silver Lake,22478
2014,Honeoye Bt Lau,35610
2014,Hither Hills,425642
2014,Max V Shaul Campsite,25885
2014,Wehle State Park,75842
2014,Cedar Island River Park,1928
2014,Peebles Island,115344
2014,Knox Headquarters,13122
2014,Mexico Point Boat Launch,15239
2014,Cayuga Lake St Pk,129415
2014,Bonavista Golf Course,6409
2014,Shadmoor,44235
2014,Cedar Pnt River Park,72601
2014,Clarence Fahnestock,285464
2014,Knox Farm Sp,0
2014,Philipse Manor,23557
2014,Soaring Eagles Golf Course,26930
