Name,Category,Region,County,Golf,Camp,Playground,Nature Center,Beach,Longitude,Latitude
Gilgo,State Park,9,Suffolk,N,N,N,N,N,-73.3429302908,40.6342880994
Glimmerglass,State Park,5,Otsego,N,Y,Y,N,Y,-74.8686839156,42.7936261732
Golden Hill,State Park,1,Niagara,N,Y,Y,N,N,-78.4801588564,43.3694616791
Goosepond Mountain,State Park,8,Orange,N,N,N,N,N,-74.2466476409,41.3375248269
Grafton Lakes,State Park,11,Rensselaer,N,N,Y,N,Y,-73.4428610841,42.784189977
Grant Cottage,State Historic Site,11,Saratoga,N,N,N,N,N,-73.7454175731,43.2012117039
Grass Point,State Park,10,Jefferson,N,Y,Y,N,Y,-75.9959300735,44.2817668143
Great Chazy Boat Launch,Marine Facility,10,Clinton,N,N,N,N,N,-73.3872247618,44.9315944647
Green Lakes,State Park,5,Onondaga,Y,Y,Y,N,Y,-75.9818848047,43.0469783183
Guy Park,State Historic Site,11,Montgomery,N,N,N,N,N,-74.2095482157,42.9469520074
Hallock,State Park Preserve,9,Suffolk,N,N,N,N,N,-72.5974738093,40.9907206945
Hamlin Beach,State Park,3,Monroe,N,Y,Y,N,Y-M,-77.9550976705,43.3600913014
Harriet Hollister Spencer,State Park,4,Ontario,N,N,N,N,N,-77.5154780869,42.688112003
Harriman,State Park,8,Rock/Orange,N,Y,Y,N,Y-M,-74.1016999643,41.2373304835
Hart's Brook Nature Preserve & Arboretum,Other,7,Westchester,N,N,N,N,N,-73.8080601676,41.0179614433
Haverstraw Beach,State Park,8,Rockland,N,N,N,N,N,-73.9431704761,41.1779918118
Heckscher,State Park,9,Suffolk,N,Y,Y,N,Y-M,-73.1649223786,40.7086615084
Helen L. McNitt,Other,5,Madison,N,N,N,N,N,-75.8741083475,42.9708517551
Hempstead Lake,State Park,9,Nassau,N,N,Y,N,N,-73.6424215072,40.6823140013
Herkimer Home,State Historic Site,5,Herkimer,N,N,N,N,N,-74.8158650531,43.0253285628
High Tor,State Park,8,Rockland,N,N,N,N,N,-73.9840129896,41.1906178735
Highland Lakes,State Park,8,Orange,N,N,N,N,N,-74.3285754476,41.4913005789
Higley Flow,State Park,10,St. Lawrence,N,Y,Y,N,Y,-74.9146427262,44.498298634
Hither Hills,State Park,9,Suffolk,N,Y,Y,Y,Y,-72.021313036,41.01605601
Hither Woods,State Park,9,Suffolk,N,N,N,N,N,-71.9893331346,41.0313237016
Honeoye Marine Park,Marine Facility,4,Ontario,N,N,N,N,N,-77.5045781497,42.7257540199
Hook Mountain,State Park,8,Rockland,N,N,N,N,N,-73.915881718,41.1517064047
Hudson Highlands,State Park Preserve,7,Dutch/Put,N,N,N,N,N,-73.9621103209,41.433755673
Hudson River Islands,State Park,11,Columb/Greene,N,Y,N,N,N,-73.7783764,42.3288852476
Hudson River Park,State Park,12,Manhattan,N,N,N,N,N,-74.0117431827,40.7354989295
Hyde Hall,State Historic Site,5,Otsego,N,N,N,N,N,-74.8739966963,42.7937333296
Indian Hills,State Park,4,Steuben,Y,N,N,N,N,-77.1547655357,42.0930548903
Iona Island,State Park,8,Rockland,N,N,N,N,N,-73.9760036984,41.304270602
Irondequoit Bay Marine Park,Marine Facility,3,Monroe,N,N,N,N,N,-77.5397106881,43.2318695342
Jacques Cartier,State Park,10,St. Lawrence,N,Y,Y,N,Y,-75.6805191967,44.5548414638
James Baird,State Park,7,Dutchess,Y,N,Y,N,N,-73.7954318134,41.6880050951
John Boyd Thacher,State Park,11,Albany,N,N,Y,Y-A,N,-74.0147061578,42.655465525
John Brown Farm,State Historic Site,11,Essex,N,N,N,N,N,-73.9715067492,44.2495745037
John Burroughs Memorial,State Historic Site,5,Delaware,N,N,N,N,N,-74.5859690347,42.2947419755
John Jay Homestead,State Historic Site,7,Westchester,N,N,N,N,N,-73.6588064087,41.2503409573
Johnson Hall,State Historic Site,11,Fulton,N,N,N,N,N,-74.3818901744,43.0155118818
Jones Beach,State Park,9,Nassau,Y,N,Y,Y-A,Y-M,-73.5164273182,40.596010848
Joseph Davis,State Park,1,Niagara,N,N,Y,N,N,-79.0399244577,43.214121149
