Year,Facility,Attendance,LastAttendance
2010,Empire Fulton Ferry,0,378706.0
2009,Empire Fulton Ferry,378706,472894.0
2008,Empire Fulton Ferry,472894,0.0
2007,Empire Fulton Ferry,377918,143740.0
2006,Empire Fulton Ferry,143740,239215.0
2005,Empire Fulton Ferry,239215,196669.0
2004,Empire Fulton Ferry,196669,120123.0
2003,Empire Fulton Ferry,120123,238710.0
2020,Evangola ,238710,189593.0
2019,Evangola ,189593,185142.0
2018,Evangola ,185142,176845.0
2017,Evangola ,176845,148556.0
2016,Evangola ,148556,141351.0
2015,Evangola ,141351,139804.0
2014,Evangola ,139804,138591.0
2013,Evangola ,138591,155758.0
2012,Evangola ,155758,110301.0
2011,Evangola ,110301,105304.0
2010,Evangola ,105304,81964.0
2009,Evangola ,81964,95151.0
2008,Evangola ,95151,0.0
2007,Evangola ,99220,108716.0
2006,Evangola ,108716,103694.0
2005,Evangola ,103694,94167.0
2004,Evangola ,94167,97345.0
2003,Evangola ,97345,290498.0
2020,Fair Haven ,290498,294544.0
2019,Fair Haven ,294544,296438.0
2018,Fair Haven ,296438,262202.0
2017,Fair Haven ,262202,260291.0
2016,Fair Haven ,260291,297945.0
2015,Fair Haven ,297945,295527.0
2014,Fair Haven ,295527,281540.0
2013,Fair Haven ,281540,311403.0
2012,Fair Haven ,311403,289424.0
2011,Fair Haven ,289424,298186.0
2010,Fair Haven ,298186,282830.0
2009,Fair Haven ,282830,258485.0
2008,Fair Haven ,258485,0.0
2007,Fair Haven ,267471,287452.0
2006,Fair Haven ,287452,278905.0
2005,Fair Haven ,278905,252124.0
2004,Fair Haven ,252124,261059.0
2003,Fair Haven ,261059,416890.0
2020,F D Roosevelt,416890,572102.0
2019,F D Roosevelt,572102,349318.0
2018,F D Roosevelt,349318,392882.0
2017,F D Roosevelt,392882,498682.0
2016,F D Roosevelt,498682,555074.0
2015,F D Roosevelt,555074,490546.0
2014,F D Roosevelt,490546,475227.0
2013,F D Roosevelt,475227,438389.0
2012,F D Roosevelt,438389,472191.0
2011,F D Roosevelt,472191,548587.0
2010,F D Roosevelt,548587,502247.0
2009,F D Roosevelt,502247,529277.0
2008,F D Roosevelt,529277,0.0
2007,F D Roosevelt,532953,544148.0
2006,F D Roosevelt,544148,622720.0
2005,F D Roosevelt,622720,621783.0
2004,F D Roosevelt,621783,579053.0
2003,F D Roosevelt,579053,112731.0
2020,Fillmore Glen ,112731,111272.0
2019,Fillmore Glen ,111272,120731.0
2018,Fillmore Glen ,120731,90789.0
2017,Fillmore Glen ,90789,96226.0
2016,Fillmore Glen ,96226,108760.0
2015,Fillmore Glen ,108760,83044.0
2014,Fillmore Glen ,83044,93100.0
2013,Fillmore Glen ,93100,128212.0
2012,Fillmore Glen ,128212,130874.0
2011,Fillmore Glen ,130874,122859.0
2010,Fillmore Glen ,122859,89869.0
2009,Fillmore Glen ,89869,98844.0
2008,Fillmore Glen ,98844,0.0
2007,Fillmore Glen ,93348,101221.0
2006,Fillmore Glen ,101221,106199.0
2005,Fillmore Glen ,106199,103980.0
2004,Fillmore Glen ,103980,100982.0
2003,Fillmore Glen ,100982,0.0
2016,Finger Lakes Admin.,0,0.0
2015,Finger Lakes Admin.,0,0.0
2014,Finger Lakes Admin.,0,0.0
2013,Finger Lakes Admin.,0,0.0
2012,Finger Lakes Admin.,0,0.0
2011,Finger Lakes Admin.,0,0.0
2010,Finger Lakes Admin.,0,0.0
2009,Finger Lakes Admin.,0,0.0
2008,Finger Lakes Admin.,0,0.0
2007,Finger Lakes Admin.,0,0.0
2006,Finger Lakes Admin.,0,0.0
2005,Finger Lakes Admin.,0,0.0
2004,Finger Lakes Admin.,0,0.0
2003,Finger Lakes Admin.,1,42495.0
2020,Fort Montgomery,42495,30970.0
2019,Fort Montgomery,30970,31615.0
2018,Fort Montgomery,31615,35915.0
2017,Fort Montgomery,35915,41293.0
2016,Fort Montgomery,41293,53197.0
2015,Fort Montgomery,53197,46335.0
2014,Fort Montgomery,46335,44478.0
2013,Fort Montgomery,44478,42503.0
2012,Fort Montgomery,42503,22299.0
2011,Fort Montgomery,22299,25693.0
2010,Fort Montgomery,25693,21415.0
2009,Fort Montgomery,21415,14946.0
2008,Fort Montgomery,14946,10818.0
2007,Fort Montgomery,10818,6442.0
2006,Fort Montgomery,6442,5553.0
2005,Fort Montgomery,5553,4681.0
2004,Fort Montgomery,4681,0.0
2003,Fort Montgomery,3536,107794.0
2020,Fort Ontario,107794,123852.0
2019,Fort Ontario,123852,150920.0
2018,Fort Ontario,150920,97649.0
2017,Fort Ontario,97649,93174.0
2016,Fort Ontario,93174,133499.0
2015,Fort Ontario,133499,116920.0
2014,Fort Ontario,116920,112048.0
2013,Fort Ontario,112048,138783.0
2012,Fort Ontario,138783,152011.0
2011,Fort Ontario,152011,105818.0
2010,Fort Ontario,105818,121620.0
2009,Fort Ontario,121620,110865.0
2008,Fort Ontario,110865,102364.0
2007,Fort Ontario,102364,113830.0
2006,Fort Ontario,113830,167772.0
2005,Fort Ontario,167772,139007.0
2004,Fort Ontario,139007,0.0
2003,Fort Ontario,120120,47275.0
2020,Four  Mile Creek,47275,81822.0
2019,Four  Mile Creek,81822,87439.0
2018,Four  Mile Creek,87439,85716.0
2017,Four  Mile Creek,85716,82038.0
2016,Four  Mile Creek,82038,80475.0
2015,Four  Mile Creek,80475,79609.0
2014,Four  Mile Creek,79609,77297.0
2013,Four  Mile Creek,77297,74465.0
2012,Four  Mile Creek,74465,68274.0
2011,Four  Mile Creek,68274,74584.0
2010,Four  Mile Creek,74584,72836.0
2009,Four  Mile Creek,72836,75611.0
2008,Four  Mile Creek,75611,92287.0
2007,Four  Mile Creek,92287,53070.0
2006,Four  Mile Creek,53070,50211.0
2005,Four  Mile Creek,50211,43974.0
2004,Four  Mile Creek,43974,0.0
2003,Four  Mile Creek,47848,136431.0
2020,Franklin D. Roosevelt Four Freedoms State ,136431,255473.0
2019,Franklin D. Roosevelt Four Freedoms State ,255473,208367.0
2018,Franklin D. Roosevelt Four Freedoms State ,208367,184807.0
2017,Franklin D. Roosevelt Four Freedoms State ,184807,830538.0
2016,Ft Niagara,830538,720137.0
2015,Ft Niagara,720137,599586.0
2014,Ft Niagara,599586,504567.0
2013,Ft Niagara,504567,363820.0
2012,Ft Niagara,363820,321996.0
2011,Ft Niagara,321996,292835.0
2010,Ft Niagara,292835,292700.0
2009,Ft Niagara,292700,272076.0
2008,Ft Niagara,272076,285993.0
2007,Ft Niagara,285993,297411.0
2006,Ft Niagara,297411,357120.0
2005,Ft Niagara,357120,424577.0
2004,Ft Niagara,424577,0.0
2003,Ft Niagara,508195,319.0
2016,Ft. Niagara Boat Launch,319,0.0
2015,Ft. Niagara Boat Launch,0,211171.0
2020,Ft Niagara (including boat launch),211171,474077.0
2019,Ft Niagara (including boat launch),474077,691166.0
2018,Ft Niagara (including boat launch),691166,689404.0
2017,Ft Niagara (including boat launch),689404,39959.0
2020,Ganondagan,39959,49318.0
2019,Ganondagan,49318,50170.0
2018,Ganondagan,50170,51764.0
2017,Ganondagan,51764,54420.0
2016,Ganondagan,54420,48871.0
2015,Ganondagan,48871,45179.0
2014,Ganondagan,45179,34426.0
2013,Ganondagan,34426,34266.0
2012,Ganondagan,34266,35488.0
2011,Ganondagan,35488,35003.0
2010,Ganondagan,35003,0.0
2009,Ganondagan,35286,37928.0
2008,Ganondagan,37928,37274.0
2007,Ganondagan,37274,28358.0
2006,Ganondagan,28358,27431.0
2005,Ganondagan,27431,30534.0
2004,Ganondagan,30534,26350.0
2003,Ganondagan,26350,1407116.0
2020,Gantry Plaza,1407116,1898951.0
2019,Gantry Plaza,1898951,1287414.0
2018,Gantry Plaza,1287414,1171478.0
2017,Gantry Plaza,1171478,1438680.0
2016,Gantry Plaza,1438680,1004475.0
2015,Gantry Plaza,1004475,905450.0
2014,Gantry Plaza,905450,443280.0
2013,Gantry Plaza,443280,626912.0
2012,Gantry Plaza,626912,634922.0
2011,Gantry Plaza,634922,687815.0
2010,Gantry Plaza,687815,0.0
2009,Gantry Plaza,343384,203334.0
2008,Gantry Plaza,203334,186290.0
2007,Gantry Plaza,186290,102275.0
2006,Gantry Plaza,102275,102320.0
2005,Gantry Plaza,102320,117614.0
2004,Gantry Plaza,117614,118444.0
2003,Gantry Plaza,118444,1159.0
2020,Genesee River ,1159,984.0
2019,Genesee River ,984,1290.0
2018,Genesee River ,1290,1132.0
2017,Genesee River ,1132,1580.0
2016,Genesee River ,1580,1670.0
