Year,Facility,Attendance,LastAttendance
2016,Clarence Fahnestock,191855,284326.0
2015,Clarence Fahnestock,284326,285464.0
2014,Clarence Fahnestock,285464,270425.0
2013,Clarence Fahnestock,270425,268393.0
2012,Clarence Fahnestock,268393,262504.0
2011,Clarence Fahnestock,262504,234817.0
2010,Clarence Fahnestock,234817,212171.0
2009,Clarence Fahnestock,212171,204923.0
2008,Clarence Fahnestock,204923,211262.0
2007,Clarence Fahnestock,211262,193288.0
2006,Clarence Fahnestock,193288,199975.0
2005,Clarence Fahnestock,199975,163330.0
2004,Clarence Fahnestock,163330,158102.0
2003,Clarence Fahnestock,158102,233653.0
2020,Clark Reservation,233653,163346.0
2019,Clark Reservation,163346,132044.0
2018,Clark Reservation,132044,114891.0
2017,Clark Reservation,114891,0.0
2016,Clark Reservation,81771,73697.0
2015,Clark Reservation,73697,68371.0
2014,Clark Reservation,68371,55704.0
2013,Clark Reservation,55704,44281.0
2012,Clark Reservation,44281,46319.0
2011,Clark Reservation,46319,29814.0
2010,Clark Reservation,29814,37186.0
2009,Clark Reservation,37186,29609.0
2008,Clark Reservation,29609,36132.0
2007,Clark Reservation,36132,46762.0
2006,Clark Reservation,46762,50642.0
2005,Clark Reservation,50642,51668.0
2004,Clark Reservation,51668,51770.0
2003,Clark Reservation,51770,44728.0
2020,Clay Pit Ponds,44728,47060.0
2019,Clay Pit Ponds,47060,44113.0
2018,Clay Pit Ponds,44113,43201.0
2017,Clay Pit Ponds,43201,0.0
2016,Clay Pit Ponds,33931,29903.0
2015,Clay Pit Ponds,29903,25343.0
2014,Clay Pit Ponds,25343,56320.0
2013,Clay Pit Ponds,56320,42191.0
2012,Clay Pit Ponds,42191,61444.0
2011,Clay Pit Ponds,61444,61772.0
2010,Clay Pit Ponds,61772,62398.0
2009,Clay Pit Ponds,62398,54827.0
2008,Clay Pit Ponds,54827,56735.0
2007,Clay Pit Ponds,56735,52911.0
2006,Clay Pit Ponds,52911,42126.0
2005,Clay Pit Ponds,42126,38379.0
2004,Clay Pit Ponds,38379,41888.0
2003,Clay Pit Ponds,41888,177086.0
2020,Clermont,177086,92759.0
2019,Clermont,92759,89424.0
2018,Clermont,89424,84323.0
2017,Clermont,84323,0.0
2016,Clermont,114399,119652.0
2015,Clermont,119652,119091.0
2014,Clermont,119091,84528.0
2013,Clermont,84528,88887.0
2012,Clermont,88887,77466.0
2011,Clermont,77466,98574.0
2010,Clermont,98574,88151.0
2009,Clermont,88151,104692.0
2008,Clermont,104692,86002.0
2007,Clermont,86002,108010.0
2006,Clermont,108010,88395.0
2005,Clermont,88395,74622.0
2004,Clermont,74622,77551.0
2003,Clermont,77551,0.0
2020,Clinton House,0,0.0
2019,Clinton House,0,0.0
2016,Clinton House,0,0.0
2015,Clinton House,0,0.0
2014,Clinton House,0,0.0
2013,Clinton House,0,0.0
2012,Clinton House,0,0.0
2011,Clinton House,0,962.0
2010,Clinton House,962,2288.0
2009,Clinton House,2288,2139.0
2008,Clinton House,2139,1669.0
2007,Clinton House,1669,1767.0
2006,Clinton House,1767,1414.0
2005,Clinton House,1414,1712.0
2004,Clinton House,1712,1594.0
2003,Clinton House,1594,233538.0
2020,Cold Spring Harbor,233538,174863.0
2019,Cold Spring Harbor,174863,171885.0
2018,Cold Spring Harbor,171885,160964.0
2017,Cold Spring Harbor,160964,165197.0
2016,Cold Spring Harbor,165197,165198.0
2015,Cold Spring Harbor,165198,0.0
2014,Cold Spring Harbor,165484,159447.0
2013,Cold Spring Harbor,159447,151993.0
2012,Cold Spring Harbor,151993,156957.0
2011,Cold Spring Harbor,156957,157992.0
2010,Cold Spring Harbor,157992,151438.0
2009,Cold Spring Harbor,151438,146467.0
2008,Cold Spring Harbor,146467,150174.0
2007,Cold Spring Harbor,150174,87324.0
2006,Cold Spring Harbor,87324,59493.0
2005,Cold Spring Harbor,59493,46611.0
2004,Cold Spring Harbor,46611,0.0
2003,Cold Spring Harbor,0,70435.0
2020,Coles Creek,70435,81993.0
2019,Coles Creek,81993,95297.0
2018,Coles Creek,95297,88007.0
2017,Coles Creek,88007,64865.0
2016,Coles Creek,64865,155274.0
2015,Coles Creek,155274,0.0
2014,Coles Creek,175087,126222.0
2013,Coles Creek,126222,133326.0
2012,Coles Creek,133326,117263.0
2011,Coles Creek,117263,114295.0
2010,Coles Creek,114295,116149.0
2009,Coles Creek,116149,122343.0
2008,Coles Creek,122343,123649.0
2007,Coles Creek,123649,107295.0
2006,Coles Creek,107295,95560.0
2005,Coles Creek,95560,116210.0
2004,Coles Creek,116210,119915.0
2003,Coles Creek,119915,39974.0
2020,Conesus Lake Boat Launch,39974,33469.0
2019,Conesus Lake Boat Launch,33469,24794.0
2018,Conesus Lake Boat Launch,24794,24855.0
2017,Conesus Lake Boat Launch,24855,24958.0
2016,Conesus Lake Boat Launch,24958,23637.0
2015,Conesus Lake Boat Launch,23637,0.0
2014,Conesus Lake Boat Launch,27025,22928.0
2013,Conesus Lake Boat Launch,22928,23692.0
2012,Conesus Lake Boat Launch,23692,21903.0
2011,Conesus Lake Boat Launch,21903,25793.0
2010,Conesus Lake Boat Launch,25793,21836.0
2009,Conesus Lake Boat Launch,21836,21245.0
2008,Conesus Lake Boat Launch,21245,23435.0
2007,Conesus Lake Boat Launch,23435,21903.0
2006,Conesus Lake Boat Launch,21903,20304.0
2005,Conesus Lake Boat Launch,20304,17643.0
2004,Conesus Lake Boat Launch,17643,18679.0
2003,Conesus Lake Boat Launch,18679,355661.0
2020,Connetquot River ,355661,250562.0
2019,Connetquot River ,250562,264289.0
2018,Connetquot River ,264289,247167.0
2017,Connetquot River ,247167,232824.0
2016,Connetquot River ,232824,213416.0
2015,Connetquot River ,213416,0.0
2014,Connetquot River ,233504,251471.0
2013,Connetquot River ,251471,227949.0
2012,Connetquot River ,227949,210690.0
2011,Connetquot River ,210690,188497.0
2010,Connetquot River ,188497,202010.0
2009,Connetquot River ,202010,235544.0
2008,Connetquot River ,235544,243208.0
2007,Connetquot River ,243208,247810.0
2006,Connetquot River ,247810,258940.0
2005,Connetquot River ,258940,281686.0
2004,Connetquot River ,281686,260198.0
2003,Connetquot River ,260198,447836.0
2020,Copake Falls,447836,315626.0
2019,Copake Falls,315626,308359.0
2018,Copake Falls,308359,321820.0
2017,Copake Falls,321820,198190.0
2016,Copake Falls,198190,321215.0
2015,Copake Falls,321215,0.0
2014,Copake Falls,272484,219733.0
2013,Copake Falls,219733,283665.0
2012,Copake Falls,283665,217386.0
2011,Copake Falls,217386,183881.0
2010,Copake Falls,183881,151206.0
2009,Copake Falls,151206,153196.0
2008,Copake Falls,153196,153578.0
2007,Copake Falls,153578,186028.0
2006,Copake Falls,186028,189061.0
2005,Copake Falls,189061,172445.0
2004,Copake Falls,172445,156903.0
2003,Copake Falls,156903,0.0
2020,Coxsackie,0,72426.0
2019,Coxsackie,72426,0.0
2016,Coxsackie,0,0.0
2015,Coxsackie,0,40043.0
2014,Coxsackie,40043,57333.0
2013,Coxsackie,57333,0.0
2012,Coxsackie,83180,116575.0
2011,Coxsackie,116575,111135.0
2010,Coxsackie,111135,93078.0
2009,Coxsackie,93078,98539.0
2008,Coxsackie,98539,128985.0
2007,Coxsackie,128985,66737.0
2006,Coxsackie,66737,0.0
2005,Coxsackie,0,0.0
2004,Coxsackie,0,0.0
2003,Coxsackie,0,6571.0
2020,Crailo,6571,5776.0
2019,Crailo,5776,8387.0
2018,Crailo,8387,9926.0
2017,Crailo,9926,11353.0
2016,Crailo,11353,14734.0
2015,Crailo,14734,11002.0
2014,Crailo,11002,8588.0
2013,Crailo,8588,0.0
2012,Crailo,9323,8103.0
2011,Crailo,8103,4504.0
2010,Crailo,4504,6473.0
2009,Crailo,6473,5547.0
2008,Crailo,5547,6186.0
2007,Crailo,6186,6758.0
2006,Crailo,6758,5795.0
2005,Crailo,5795,7046.0
2004,Crailo,7046,7733.0
2003,Crailo,7733,40057.0
2020,Crown Point,40057,29033.0
2019,Crown Point,29033,26825.0
2018,Crown Point,26825,30258.0
2017,Crown Point,30258,28803.0
2016,Crown Point,28803,24664.0
2015,Crown Point,24664,20288.0
2014,Crown Point,20288,18650.0
2013,Crown Point,18650,0.0
2012,Crown Point,26283,23171.0
2011,Crown Point,23171,16997.0
2010,Crown Point,16997,20782.0
2009,Crown Point,20782,14235.0
2008,Crown Point,14235,14633.0
2007,Crown Point,14633,15778.0
2006,Crown Point,15778,37901.0
2005,Crown Point,37901,47224.0
2004,Crown Point,47224,48230.0
2003,Crown Point,48230,34760.0
2020,Cumberland Bay ,34760,55420.0
2019,Cumberland Bay ,55420,59104.0
2018,Cumberland Bay ,59104,51815.0
2017,Cumberland Bay ,51815,53678.0
2016,Cumberland Bay ,53678,43139.0
2015,Cumberland Bay ,43139,47432.0
2014,Cumberland Bay ,47432,42345.0
2013,Cumberland Bay ,42345,0.0
2012,Cumberland Bay ,47802,4524.0
2011,Cumberland Bay ,4524,46709.0
2010,Cumberland Bay ,46709,53209.0
2009,Cumberland Bay ,53209,55934.0
2008,Cumberland Bay ,55934,55319.0
2007,Cumberland Bay ,55319,43906.0
2006,Cumberland Bay ,43906,51057.0
2005,Cumberland Bay ,51057,51153.0
2004,Cumberland Bay ,51153,53791.0
2003,Cumberland Bay ,53791,74022.0
2020,Darien Lakes State ,74022,79019.0
2019,Darien Lakes State ,79019,80092.0
2018,Darien Lakes State ,80092,76016.0
2017,Darien Lakes State ,76016,78172.0
2016,Darien Lakes State ,78172,77799.0
2015,Darien Lakes State ,77799,68360.0
2014,Darien Lakes State ,68360,60107.0
2013,Darien Lakes State ,60107,0.0
2012,Darien Lakes State ,66184,69516.0
2011,Darien Lakes State ,69516,59639.0
2010,Darien Lakes State ,59639,50327.0
2009,Darien Lakes State ,50327,55184.0
2008,Darien Lakes State ,55184,62697.0
2007,Darien Lakes State ,62697,58176.0
2006,Darien Lakes State ,58176,61555.0
2005,Darien Lakes State ,61555,54429.0
2004,Darien Lakes State ,54429,56859.0
2003,Darien Lakes State ,56859,26865.0
2020,Deans Cove Boat Launch,26865,20993.0
2019,Deans Cove Boat Launch,20993,19480.0
2018,Deans Cove Boat Launch,19480,17572.0
2017,Deans Cove Boat Launch,17572,17795.0
2016,Deans Cove Boat Launch,17795,15891.0
2015,Deans Cove Boat Launch,15891,14448.0
2014,Deans Cove Boat Launch,14448,15211.0
2013,Deans Cove Boat Launch,15211,0.0
2012,Deans Cove Boat Launch,16966,15318.0
2011,Deans Cove Boat Launch,15318,16747.0
2010,Deans Cove Boat Launch,16747,16890.0
2009,Deans Cove Boat Launch,16890,21442.0
2008,Deans Cove Boat Launch,21442,26661.0
2007,Deans Cove Boat Launch,26661,12929.0
2006,Deans Cove Boat Launch,12929,15519.0
2005,Deans Cove Boat Launch,15519,20712.0
2004,Deans Cove Boat Launch,20712,17582.0
2003,Deans Cove Boat Launch,17582,26416.0
2004,Deaveaux Woods,26416,27793.0
2003,Deaveaux Woods,27793,277951.0
2020,Delta Lake ,277951,268084.0
2019,Delta Lake ,268084,340761.0
2018,Delta Lake ,340761,267273.0
2017,Delta Lake ,267273,202781.0
2016,Delta Lake ,202781,212431.0
2015,Delta Lake ,212431,0.0
2014,Delta Lake ,209556,221627.0
2013,Delta Lake ,221627,210925.0
2012,Delta Lake ,210925,196444.0
2011,Delta Lake ,196444,195083.0
2010,Delta Lake ,195083,172280.0
2009,Delta Lake ,172280,181829.0
2008,Delta Lake ,181829,173339.0
2007,Delta Lake ,173339,153607.0
2006,Delta Lake ,153607,156397.0
2005,Delta Lake ,156397,113826.0
2004,Delta Lake ,113826,119868.0
2003,Delta Lake ,119868,50307.0
2020,Deveaux Woods,50307,105175.0
2019,Deveaux Woods,105175,101088.0
2018,Deveaux Woods,101088,81436.0
2017,Deveaux Woods,81436,63900.0
2016,Deveaux Woods,63900,62282.0
2015,Deveaux Woods,62282,0.0
2014,Deveaux Woods,90202,107404.0
2013,Deveaux Woods,107404,93396.0
2012,Deveaux Woods,93396,20420.0
2011,Deveaux Woods,20420,21726.0
2010,Deveaux Woods,21726,34205.0
2009,Deveaux Woods,34205,26768.0
2008,Deveaux Woods,26768,28693.0
2007,Deveaux Woods,28693,27517.0
2006,Deveaux Woods,27517,28371.0
2005,Deveaux Woods,28371,111084.0
2020,Devils Hole,111084,161137.0
2019,Devils Hole,161137,162774.0
2018,Devils Hole,162774,160176.0
2017,Devils Hole,160176,158816.0
2016,Devils Hole,158816,150369.0
2015,Devils Hole,150369,136118.0
2014,Devils Hole,136118,133709.0
2013,Devils Hole,133709,0.0
2012,Devils Hole,194484,416605.0
2011,Devils Hole,416605,131451.0
2010,Devils Hole,131451,111198.0
2009,Devils Hole,111198,133641.0
2008,Devils Hole,133641,142625.0
2007,Devils Hole,142625,144114.0
2006,Devils Hole,144114,153845.0
2005,Devils Hole,153845,145065.0
2004,Devils Hole,145065,161640.0
2003,Devils Hole,161640,17104.0
2020,Dewolf Point,17104,14064.0
2019,Dewolf Point,14064,17396.0
2018,Dewolf Point,17396,17093.0
2017,Dewolf Point,17093,17288.0
2016,Dewolf Point,17288,16378.0
2015,Dewolf Point,16378,15893.0
2014,Dewolf Point,15893,16566.0
2013,Dewolf Point,16566,0.0
2012,Dewolf Point,19309,15443.0
2011,Dewolf Point,15443,11090.0
2010,Dewolf Point,11090,9528.0
2009,Dewolf Point,9528,8514.0
2008,Dewolf Point,8514,8588.0
2007,Dewolf Point,8588,7461.0
2006,Dewolf Point,7461,8384.0
2005,Dewolf Point,8384,8942.0
2004,Dewolf Point,8942,8198.0
2003,Dewolf Point,8198,0.0
2020,Durand Eastman,0,0.0
2019,Durand Eastman,0,19505.0
2016,Durand Eastman,19505,23982.0
2015,Durand Eastman,23982,22751.0
2014,Durand Eastman,22751,32549.0
2013,Durand Eastman,32549,30959.0
2012,Durand Eastman,30959,25396.0
2011,Durand Eastman,25396,0.0
2010,Durand Eastman,26226,26423.0
2009,Durand Eastman,26423,22508.0
2008,Durand Eastman,22508,13398.0
2007,Durand Eastman,13398,17019.0
2006,Durand Eastman,17019,37100.0
2005,Durand Eastman,37100,0.0
2004,Durand Eastman,0,0.0
2003,Durand Eastman,0,4886.0
2020,Eel Weir St ,4886,4583.0
2019,Eel Weir St ,4583,3922.0
2018,Eel Weir St ,3922,5052.0
2017,Eel Weir St ,5052,3613.0
2016,Eel Weir St ,3613,3636.0
2015,Eel Weir St ,3636,3377.0
2014,Eel Weir St ,3377,3194.0
2013,Eel Weir St ,3194,3865.0
2012,Eel Weir St ,3865,2738.0
2011,Eel Weir St ,2738,0.0
2010,Eel Weir St ,1990,4427.0
2009,Eel Weir St ,4427,7120.0
2008,Eel Weir St ,7120,10835.0
2007,Eel Weir St ,10835,11802.0
2006,Eel Weir St ,11802,9415.0
2005,Eel Weir St ,9415,5925.0
2004,Eel Weir St ,5925,4788.0
2003,Eel Weir St ,4788,0.0
2019,Empire Fulton Ferry,0,0.0
2016,Empire Fulton Ferry,0,0.0
2015,Empire Fulton Ferry,0,0.0
2014,Empire Fulton Ferry,0,0.0
2013,Empire Fulton Ferry,0,0.0
2012,Empire Fulton Ferry,0,0.0
2011,Empire Fulton Ferry,0,0.0
